filename,dialect,podcast,path,hasSpeech,gender,length
algeria_1_1,Algerian,algeria_1,Algerian\algeria_1\algeria_1_1.wav,True,female,5
algeria_1_10,Algerian,algeria_1,Algerian\algeria_1\algeria_1_10.wav,True,female,5
algeria_1_100,Algerian,algeria_1,Algerian\algeria_1\algeria_1_100.wav,True,female,5
algeria_1_101,Algerian,algeria_1,Algerian\algeria_1\algeria_1_101.wav,True,female,5
algeria_1_102,Algerian,algeria_1,Algerian\algeria_1\algeria_1_102.wav,True,female,5
algeria_1_103,Algerian,algeria_1,Algerian\algeria_1\algeria_1_103.wav,True,female,5
algeria_1_104,Algerian,algeria_1,Algerian\algeria_1\algeria_1_104.wav,True,female,5
algeria_1_105,Algerian,algeria_1,Algerian\algeria_1\algeria_1_105.wav,True,female,5
algeria_1_106,Algerian,algeria_1,Algerian\algeria_1\algeria_1_106.wav,True,female,5
algeria_1_107,Algerian,algeria_1,Algerian\algeria_1\algeria_1_107.wav,True,female,5
algeria_1_108,Algerian,algeria_1,Algerian\algeria_1\algeria_1_108.wav,True,female,5
algeria_1_109,Algerian,algeria_1,Algerian\algeria_1\algeria_1_109.wav,True,female,5
algeria_1_11,Algerian,algeria_1,Algerian\algeria_1\algeria_1_11.wav,True,female,5
algeria_1_110,Algerian,algeria_1,Algerian\algeria_1\algeria_1_110.wav,True,female,5
algeria_1_111,Algerian,algeria_1,Algerian\algeria_1\algeria_1_111.wav,True,female,5
algeria_1_112,Algerian,algeria_1,Algerian\algeria_1\algeria_1_112.wav,True,female,5
algeria_1_113,Algerian,algeria_1,Algerian\algeria_1\algeria_1_113.wav,True,female,5
algeria_1_114,Algerian,algeria_1,Algerian\algeria_1\algeria_1_114.wav,True,female,5
algeria_1_115,Algerian,algeria_1,Algerian\algeria_1\algeria_1_115.wav,True,female,5
algeria_1_116,Algerian,algeria_1,Algerian\algeria_1\algeria_1_116.wav,True,female,5
algeria_1_117,Algerian,algeria_1,Algerian\algeria_1\algeria_1_117.wav,True,female,5
algeria_1_119,Algerian,algeria_1,Algerian\algeria_1\algeria_1_119.wav,True,female,5
algeria_1_12,Algerian,algeria_1,Algerian\algeria_1\algeria_1_12.wav,True,female,5
algeria_1_120,Algerian,algeria_1,Algerian\algeria_1\algeria_1_120.wav,True,female,5
algeria_1_121,Algerian,algeria_1,Algerian\algeria_1\algeria_1_121.wav,True,female,5
algeria_1_122,Algerian,algeria_1,Algerian\algeria_1\algeria_1_122.wav,True,female,5
algeria_1_124,Algerian,algeria_1,Algerian\algeria_1\algeria_1_124.wav,True,female,5
algeria_1_125,Algerian,algeria_1,Algerian\algeria_1\algeria_1_125.wav,True,female,5
algeria_1_126,Algerian,algeria_1,Algerian\algeria_1\algeria_1_126.wav,True,female,5
algeria_1_127,Algerian,algeria_1,Algerian\algeria_1\algeria_1_127.wav,True,female,5
algeria_1_128,Algerian,algeria_1,Algerian\algeria_1\algeria_1_128.wav,True,female,5
algeria_1_129,Algerian,algeria_1,Algerian\algeria_1\algeria_1_129.wav,True,female,5
algeria_1_13,Algerian,algeria_1,Algerian\algeria_1\algeria_1_13.wav,True,female,5
algeria_1_130,Algerian,algeria_1,Algerian\algeria_1\algeria_1_130.wav,True,female,5
algeria_1_131,Algerian,algeria_1,Algerian\algeria_1\algeria_1_131.wav,True,female,5
algeria_1_132,Algerian,algeria_1,Algerian\algeria_1\algeria_1_132.wav,True,female,5
algeria_1_133,Algerian,algeria_1,Algerian\algeria_1\algeria_1_133.wav,True,female,5
algeria_1_134,Algerian,algeria_1,Algerian\algeria_1\algeria_1_134.wav,True,female,5
algeria_1_135,Algerian,algeria_1,Algerian\algeria_1\algeria_1_135.wav,True,female,5
algeria_1_136,Algerian,algeria_1,Algerian\algeria_1\algeria_1_136.wav,True,female,5
algeria_1_137,Algerian,algeria_1,Algerian\algeria_1\algeria_1_137.wav,True,female,5
algeria_1_138,Algerian,algeria_1,Algerian\algeria_1\algeria_1_138.wav,True,female,5
algeria_1_139,Algerian,algeria_1,Algerian\algeria_1\algeria_1_139.wav,True,female,5
algeria_1_14,Algerian,algeria_1,Algerian\algeria_1\algeria_1_14.wav,True,female,5
algeria_1_140,Algerian,algeria_1,Algerian\algeria_1\algeria_1_140.wav,True,female,5
algeria_1_141,Algerian,algeria_1,Algerian\algeria_1\algeria_1_141.wav,True,female,5
algeria_1_142,Algerian,algeria_1,Algerian\algeria_1\algeria_1_142.wav,True,female,5
algeria_1_143,Algerian,algeria_1,Algerian\algeria_1\algeria_1_143.wav,True,female,5
algeria_1_144,Algerian,algeria_1,Algerian\algeria_1\algeria_1_144.wav,True,female,5
algeria_1_145,Algerian,algeria_1,Algerian\algeria_1\algeria_1_145.wav,True,female,5
algeria_1_146,Algerian,algeria_1,Algerian\algeria_1\algeria_1_146.wav,True,female,5
algeria_1_147,Algerian,algeria_1,Algerian\algeria_1\algeria_1_147.wav,True,female,5
algeria_1_148,Algerian,algeria_1,Algerian\algeria_1\algeria_1_148.wav,True,female,5
algeria_1_149,Algerian,algeria_1,Algerian\algeria_1\algeria_1_149.wav,True,female,5
algeria_1_15,Algerian,algeria_1,Algerian\algeria_1\algeria_1_15.wav,True,female,5
algeria_1_150,Algerian,algeria_1,Algerian\algeria_1\algeria_1_150.wav,True,female,5
algeria_1_151,Algerian,algeria_1,Algerian\algeria_1\algeria_1_151.wav,True,female,5
algeria_1_152,Algerian,algeria_1,Algerian\algeria_1\algeria_1_152.wav,True,female,5
algeria_1_153,Algerian,algeria_1,Algerian\algeria_1\algeria_1_153.wav,True,female,5
algeria_1_154,Algerian,algeria_1,Algerian\algeria_1\algeria_1_154.wav,True,female,5
algeria_1_155,Algerian,algeria_1,Algerian\algeria_1\algeria_1_155.wav,True,female,5
algeria_1_156,Algerian,algeria_1,Algerian\algeria_1\algeria_1_156.wav,True,female,5
algeria_1_157,Algerian,algeria_1,Algerian\algeria_1\algeria_1_157.wav,True,female,5
algeria_1_158,Algerian,algeria_1,Algerian\algeria_1\algeria_1_158.wav,True,female,5
algeria_1_159,Algerian,algeria_1,Algerian\algeria_1\algeria_1_159.wav,True,female,5
algeria_1_16,Algerian,algeria_1,Algerian\algeria_1\algeria_1_16.wav,True,female,5
algeria_1_160,Algerian,algeria_1,Algerian\algeria_1\algeria_1_160.wav,True,female,5
algeria_1_161,Algerian,algeria_1,Algerian\algeria_1\algeria_1_161.wav,True,female,5
algeria_1_162,Algerian,algeria_1,Algerian\algeria_1\algeria_1_162.wav,True,female,5
algeria_1_163,Algerian,algeria_1,Algerian\algeria_1\algeria_1_163.wav,True,female,5
