filename,dialect,podcast,path,hasSpeech,gender,length,oneSpeaker
lebanon_4_273,Lebanese,lebanon_4,Lebanese\lebanon_4\lebanon_4_273.wav,True,female,5,True
jordan_3_202,Jordanian,jordan_3,Jordanian\jordan_3\jordan_3_202.wav,True,female,5,True
syria_3_155,Syrian,syria_3,Syrian\syria_3\syria_3_155.wav,True,male,5,True
bahrain_2_141,Bahraini,bahrain_2,Bahraini\bahrain_2\bahrain_2_141.wav,True,male,5,True
ksa_4_49,Saudi,ksa_4,Saudi\ksa_4\ksa_4_49.wav,True,male,5,True
egypt_2_55,Egyptian,egypt_2,Egyptian\egypt_2\egypt_2_55.wav,True,male,5,True
syria_1_160,Syrian,syria_1,Syrian\syria_1\syria_1_160.wav,True,female,5,True
iraq_5_305,Iraqi,iraq_5,Iraqi\iraq_5\iraq_5_305.wav,True,female,5,True
iraq_5_58,Iraqi,iraq_5,Iraqi\iraq_5\iraq_5_58.wav,True,female,5,True
palestine_5_82,Palestinian,palestine_5,Palestinian\palestine_5\palestine_5_82.wav,True,female,5,True
ksa_4_269,Saudi,ksa_4,Saudi\ksa_4\ksa_4_269.wav,True,male,5,True
syria_5_220,Syrian,syria_5,Syrian\syria_5\syria_5_220.wav,True,male,5,True
bahrain_1_261,Bahraini,bahrain_1,Bahraini\bahrain_1\bahrain_1_261.wav,True,male,5,True
bahrain_5_214,Bahraini,bahrain_5,Bahraini\bahrain_5\bahrain_5_214.wav,True,female,5,True
uae_3_157,Emarati,uae_3,Emarati\uae_3\uae_3_157.wav,True,male,5,True
bahrain_4_207,Bahraini,bahrain_4,Bahraini\bahrain_4\bahrain_4_207.wav,True,female,5,True
uae_3_126,Emarati,uae_3,Emarati\uae_3\uae_3_126.wav,True,male,5,True
jordan_1_135,Jordanian,jordan_1,Jordanian\jordan_1\jordan_1_135.wav,True,male,5,True
iraq_3_179,Iraqi,iraq_3,Iraqi\iraq_3\iraq_3_179.wav,True,male,5,True
palestine_2_253,Palestinian,palestine_2,Palestinian\palestine_2\palestine_2_253.wav,True,male,5,True
syria_4_156,Syrian,syria_4,Syrian\syria_4\syria_4_156.wav,True,female,5,True
syria_4_224,Syrian,syria_4,Syrian\syria_4\syria_4_224.wav,True,female,5,True
bahrain_5_291,Bahraini,bahrain_5,Bahraini\bahrain_5\bahrain_5_291.wav,True,female,5,True
bahrain_3_98,Bahraini,bahrain_3,Bahraini\bahrain_3\bahrain_3_98.wav,True,male,5,True
palestine_3_26,Palestinian,palestine_3,Palestinian\palestine_3\palestine_3_26.wav,True,male,5,True
